property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
VBD46291,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd46291,Apartment,620000.0,2.0,126.0,Excellent,4.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD46397,https://immovlan.be/en/detail/triplex/for-sale/1000/brussels/vbd46397,Apartment,575000.0,4.0,154.0,Normal,2.0,1.0,,,,,,triplex,1000.0,brussels,standard
VBD46314,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd46314,Apartment,250000.0,2.0,68.0,Normal,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD46405,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46405,Apartment,149000.0,1.0,35.0,To be renovated,2.0,,,,,,,apartment,1020.0,laken,standard
RBU61308,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu61308,Apartment,350000.0,2.0,,New,2.0,,,,,,,apartment,1020.0,laken,standard
RBU61311,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu61311,Apartment,365000.0,2.0,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU61312,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu61312,Apartment,240000.0,,,New,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD46520,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vbd46520,Apartment,415000.0,1.0,55.0,Excellent,2.0,0.0,1.0,,,,,penthouse,1000.0,brussels,standard
VBD46453,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd46453,Apartment,800000.0,2.0,227.0,Excellent,,,1.0,,,,,apartment,1000.0,brussels,standard
RBU61398,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/rbu61398,Apartment,319000.0,2.0,95.0,Normal,2.0,0.0,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
VBD46783,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbd46783,Apartment,579000.0,3.0,253.0,Excellent,2.0,0.0,1.0,,,,,duplex,1000.0,brussels,standard
VBD46767,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd46767,Apartment,150000.0,1.0,29.0,Normal,,,,,,,,apartment,1000.0,brussels,standard
VBD46809,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46809,Apartment,354900.0,3.0,120.0,nan,3.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD46821,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd46821,Apartment,175000.0,1.0,69.0,To renovate,,,1.0,,,,,apartment,1020.0,laken,standard
RBU62122,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu62122,Apartment,215000.0,1.0,60.0,Normal,2.0,1.0,,,,,,apartment,1000.0,brussels,standard
VBD47098,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd47098,Apartment,220000.0,2.0,87.0,To renovate,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD47140,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd47140,Apartment,375000.0,2.0,118.0,Normal,3.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD47222,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd47222,Apartment,715000.0,3.0,169.0,nan,3.0,,,,,,,apartment,1000.0,brussels,standard
VBD47260,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vbd47260,Apartment,415000.0,1.0,56.0,Excellent,3.0,1.0,1.0,,,,,penthouse,1000.0,brussels,standard
RBU62666,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu62666,Apartment,249000.0,2.0,85.0,Normal,3.0,0.0,1.0,,,,,apartment,1020.0,laken,standard
VBD47463,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd47463,Apartment,305000.0,0.0,50.0,Excellent,,1.0,,,,,,studio,1000.0,brussels,standard
VBD47510,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd47510,Apartment,650000.0,3.0,255.0,Normal,,,,,,,,apartment,1000.0,brussels,standard
VBD47635,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbd47635,Apartment,350000.0,1.0,117.0,nan,2.0,,1.0,,,,,duplex,1000.0,brussels,standard
