property_id,url,property_type,price,number_of_bedrooms,municipality_url,livable_surface,vat,number_of_bathrooms,elevator,type_of_heating,state_of_the_property,specific_primary_energy_consumption,number_of_toilets,number_of_facades,flooding_area_type,furnished,availability,currently_leased,certification_electrical_installation,running_water,build_year,total_land_surface,cadastral_income,type_of_glazing,floor_of_appartment,garage,preemption_right,orientation_of_the_front_facade,epc_peb_reference,attic,surface_of_living_room,gas,surface_terrace,access_for_disabled,urbanism_affectation,number_of_parking_places_outdoor_,frontage_width,validity_date_epc_peb,number_of_floors,surface_garden,kitchen_equipment,sewer_connection,surface_kitchen,kitchen_type,surface_bedroom_1,ground_depth,surface_bedroom_2,the_property_and_or_its_surroundings_are_protected_,swimming_pool,alarm,building_permission_granted,surface_bedroom_3,cellar,yearly_total_primary_energy_consumption,buildable_surface,terrain_width_at_the_roadside,number_of_garages,planning_permission_granted,balcony,postal_code,municipality,air_conditioning,g_score,p_score,surface_bedroom_4,water_sensitive_open_space_areas,certification_as_build_,garden_orientation,number_of_parking_spaces_indoor_,rain_water_tank,demarcated_flooding_area,co2_emission,number_of_showers,wash_room,entry_phone,surface_of_the_cellar_s_,fireplace,vat_applied_,certification_electrical_installation_validity,solar_panels,floor_heating,opportunity_for_professional,total_surface,adaptations_for_elderlies,level_e,level_k,garden,terrace,609af22983804603bea6649c89f568ac_pdf,3db7d3c8c5b0480fbe5874334949d458_pdf,61b91a4b75064bec8e90edc245196cae_pdf,0aa4be20656b4c69943fca725b87c92c_jpg,4316af2f60b841a6be640faa59e71f6e_jpg,certification_gasoil_tank,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
VBD23638,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd23638,house,84000.0,2.0,grivegnee,50.0,0.0,1.0,0.0,Gas,To renovate,303.0,1.0,,no flooding area,0.0,On contract,1.0,"No, certificate does not comply",,,41.0,193.0,,,,0.0,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated riparian zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD23894,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd23894,house,299000.0,0.0,liege,140.0,0.0,,0.0,Gas,To renovate,243.0,,,no flooding area,,,,,,,260.0,,,,,,,20220127017827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD24486,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd24486,house,219000.0,6.0,bressoux,149.0,0.0,1.0,0.0,Gas,Normal,452.0,,,no flooding area,0.0,Negotiable,,,,,119.0,1095.0,,,,,North,20250523027302,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD24834,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd24834,house,199500.0,3.0,liege,150.0,0.0,1.0,0.0,Gas,Normal,452.0,2.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,120.0,743.0,,,,0.0,South-east,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD24960,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd24960,house,299000.0,3.0,liege,255.0,0.0,3.0,0.0,Gas,Normal,233.0,3.0,,no flooding area,0.0,,,"yes, certificate in accordance",,,250.0,,,,,,,,,27.0,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated flooding area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD35512,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd35512,house,250000.0,3.0,liege,276.0,0.0,2.0,0.0,Gas,To be renovated,532.0,2.0,,,0.0,On contract,0.0,,,,150.0,710.0,,,,,,20250312003009,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD35403,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd35403,house,199000.0,2.0,liege,122.0,0.0,1.0,0.0,,Normal,218.0,1.0,,no flooding area,0.0,On contract,,"yes, certificate in accordance",,,65.0,,,,,0.0,North,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD35703,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd35703,house,219000.0,4.0,bressoux,246.0,0.0,1.0,,Gas,,407.0,,,,,,0.0,,,,255.0,,,,,,,20240321015239,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD35647,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd35647,house,224900.0,2.0,liege,189.0,0.0,1.0,0.0,Fuel oil,Normal,370.0,2.0,,no flooding area,0.0,,,,,,339.0,,,,,,,,,14.0,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD36657,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd36657,house,,3.0,liege,181.0,0.0,,0.0,,Normal,263.0,2.0,,,0.0,,0.0,,,,164.0,585.0,,,,0.0,North-east,‭20250915025238‬,,,,,,,,,,,85.0,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC88168,https://immovlan.be/en/detail/residence/for-sale/4020/wandre/vbc88168,house,165000.0,4.0,wandre,139.0,0.0,,0.0,,,347.0,1.0,,,0.0,Immediately,0.0,"No, certificate does not comply",,,,356.0,,,,,,20250526015561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37159,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd37159,house,379000.0,8.0,liege,267.0,0.0,2.0,0.0,Gas,Excellent,389.0,3.0,,,0.0,On contract,,"yes, certificate in accordance",,,187.0,1323.0,,,,,South,,,,,,,,,,,,50.0,,,,,,28 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD36502,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd36502,house,320000.0,5.0,liege,300.0,0.0,2.0,0.0,Gas,To be renovated,310.0,3.0,,,0.0,On contract,0.0,"No, certificate does not comply",,,,1142.0,,,,,,20250804007923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37530,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd37530,house,349000.0,3.0,liege,100.0,0.0,2.0,0.0,Gas,Excellent,160.0,2.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,195.0,892.0,,,,,,,,32.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37406,https://immovlan.be/en/detail/residence/for-sale/4000/glain/vbd37406,house,385000.0,4.0,glain,260.0,0.0,4.0,,Gas,,455.0,,,,,,0.0,,,,192.0,,,,,,,20230728010846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37574,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd37574,house,149000.0,2.0,liege,52.0,0.0,2.0,0.0,Gas,Excellent,360.0,2.0,,no flooding area,0.0,On contract,1.0,"yes, certificate in accordance",,,,229.0,,,,0.0,East,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a demarcated flooding area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37580,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd37580,house,240000.0,2.0,liege,84.0,0.0,1.0,,,Normal,1159.0,1.0,,,0.0,,,,,,653.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37624,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd37624,house,259000.0,2.0,liege,,0.0,1.0,0.0,,Fully renovated,455.0,2.0,,no flooding area,0.0,On contract,0.0,,,,736.0,,,,,0.0,South,,,23.0,,,,,,,,,539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD02117,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd02117,house,,2.0,bressoux,93.0,0.0,,0.0,Gas,,333.0,,,,0.0,Immediately,0.0,"yes, certificate in accordance",,,100.0,319.0,,,,0.0,,20250710022981,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD37902,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd37902,house,265000.0,3.0,liege,88.0,0.0,1.0,0.0,Gas,To renovate,331.0,2.0,,no flooding area,,,,"No, certificate does not comply",,,136.0,,,,,,,,,,,,,,,,,,76.0,,,,,,23 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38426,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd38426,house,229000.0,3.0,liege,160.0,0.0,2.0,0.0,Gas,To renovate,220.0,,,,,,,,,,233.0,,,,,,,20230210004265,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38395,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd38395,house,180000.0,4.0,liege,104.0,0.0,1.0,0.0,Gas,Normal,259.0,1.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,54.0,485.0,,,,0.0,South,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38013,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd38013,house,175000.0,3.0,bressoux,138.0,0.0,1.0,,Gas,To be renovated,330.0,2.0,,,,Immediately,0.0,"No, certificate does not comply",,,146.0,436.0,,,,0.0,,20250927008311,,14.0,,,,,,,,,91.0,,,,,,27 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD28462,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd28462,house,235000.0,3.0,liege,120.0,0.0,1.0,,Fuel oil,Normal,348.0,1.0,,,,,,,,,108.0,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD28997,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd28997,house,399000.0,4.0,liege,190.0,0.0,2.0,,Gas,Normal,208.0,2.0,,no flooding area,,,,,,,291.0,1147.0,,,,,,,,,,,,,,,,,196.0,,,,,,41 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD28994,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd28994,house,149000.0,1.0,liege,77.0,0.0,1.0,0.0,Gas,To be renovated,925.0,,,,,,,,,,,,,,,,,20250917042587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD28775,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd28775,house,145000.0,8.0,liege,149.0,0.0,,0.0,Not specified,To be renovated,736.0,,,,,,,"No, certificate does not comply",,,100.0,,,,,,East,,,,,,,,,,,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD29040,https://immovlan.be/en/detail/mixed-building/for-sale/4030/grivegnee/vbd29040,house,219000.0,3.0,grivegnee,114.0,0.0,1.0,0.0,Fuel oil,Normal,338.0,2.0,,,0.0,On contract,0.0,,,,205.0,1472.0,,,,0.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC92965,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbc92965,house,185000.0,2.0,grivegnee,109.0,0.0,1.0,0.0,Gas,,620.0,,,no flooding area,0.0,Immediately,0.0,"No, certificate does not comply",,,1.0,592.0,,,,,,20150928013371,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC91236,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbc91236,house,249000.0,3.0,liege,172.0,0.0,1.0,0.0,Gas,To be renovated,299.0,1.0,,,0.0,,0.0,,,,215.0,850.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD29659,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd29659,house,295000.0,5.0,liege,231.0,0.0,3.0,0.0,Gas,To be renovated,1053.0,,,,0.0,,0.0,,,,200.0,746.0,,,,,,20250625033877,,16.0,,,,,,,,,72.0,,,,,,,,,,,,,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD30124,https://immovlan.be/en/detail/villa/for-sale/4020/liege/vbd30124,house,499000.0,4.0,liege,240.0,0.0,2.0,,Fuel oil,Excellent,243.0,2.0,,no flooding area,,,,"yes, certificate in accordance",,,937.0,1702.0,,,,,North-west,,,41.0,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD30542,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd30542,house,400000.0,6.0,chenee,224.0,0.0,1.0,0.0,Gas,,224.0,2.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,687.0,1455.0,,,,,,20250918015380,,26.0,,,,,,,,,220.0,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD30010,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd30010,house,115000.0,2.0,liege,125.0,0.0,1.0,,Gas,To be renovated,305.0,,,,,Immediately,0.0,"yes, certificate in accordance",,,,,,,,0.0,East,20181022001640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD02334,https://immovlan.be/en/detail/residence/for-sale/4031/angleur/vbd02334,house,499000.0,3.0,angleur,244.0,0.0,2.0,0.0,Fuel oil,To renovate,772.0,,,,,,,,,,2100.0,2721.0,,,,,North,20250622012842,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD30745,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd30745,house,299000.0,3.0,liege,125.0,0.0,,0.0,Gas,,210.0,,,,0.0,,0.0,,,,70.0,728.0,,,,,,,,30.0,,,,,,,,,,,,,,,10 m,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD30780,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd30780,house,219000.0,2.0,grivegnee,124.0,0.0,1.0,0.0,Fuel oil,Normal,380.0,2.0,,no flooding area,0.0,On contract,0.0,"No, certificate does not comply",,,192.0,1244.0,,,,0.0,North-west,,,19.0,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD06576,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd06576,house,264000.0,4.0,grivegnee,251.0,0.0,1.0,,Fuel oil,To be renovated,257.0,,,,,On contract,0.0,"No, certificate does not comply",,,145.0,991.0,,,,0.0,South-west,20250714011437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD13150,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd13150,house,175000.0,4.0,liege,125.0,0.0,1.0,0.0,Fuel oil,Normal,302.0,2.0,,no flooding area,,On contract,,"No, certificate does not comply",,,107.0,540.0,,,,,South-east,,,,,,,,,,,,,,,,,,19 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31305,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd31305,house,189000.0,2.0,liege,119.0,0.0,1.0,0.0,Gas,Normal,267.0,1.0,,no flooding area,0.0,On contract,0.0,"No, certificate does not comply",,,281.0,1192.0,,,,0.0,East,,,27.0,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31214,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd31214,house,235000.0,3.0,liege,120.0,0.0,1.0,0.0,Gas,Normal,387.0,2.0,,,,On contract,,,,,228.0,1053.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31367,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd31367,house,320000.0,4.0,grivegnee,234.0,0.0,2.0,,Gas,,225.0,2.0,,,,On contract,0.0,"No, certificate does not comply",,,264.0,1628.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31692,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd31692,house,129000.0,2.0,liege,140.0,0.0,1.0,0.0,Fuel oil,To be renovated,411.0,2.0,,no flooding area,0.0,On contract,,,,,50.0,676.0,,,,,South,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31869,https://immovlan.be/en/detail/residence/for-sale/4031/angleur/vbd31869,house,260000.0,4.0,angleur,212.0,0.0,1.0,0.0,Gas,Normal,277.0,2.0,,,0.0,,0.0,"yes, certificate in accordance",,,539.0,819.0,,,,,,20180806015093,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD31322,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd31322,house,199000.0,3.0,chenee,150.0,0.0,1.0,0.0,,Excellent,463.0,1.0,,,0.0,On contract,,"yes, certificate in accordance",,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD32679,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd32679,house,210000.0,4.0,liege,101.0,0.0,1.0,0.0,Gas,Normal,274.0,1.0,,no flooding area,0.0,On contract,,"yes, certificate in accordance",,,120.0,411.0,,,,,,,,20.0,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD32652,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd32652,house,179000.0,2.0,grivegnee,95.0,0.0,1.0,0.0,,Normal,277.0,1.0,,no flooding area,0.0,On contract,,"yes, certificate in accordance",,,111.0,,,,,0.0,,,,,,,,,,,,,42.0,,,,,,24 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD32724,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd32724,house,139000.0,4.0,liege,177.0,0.0,,0.0,Not specified,To be renovated,592.0,1.0,,,0.0,,0.0,,,,195.0,716.0,,,,,,20250923006188,,29.0,,,,,,,,,120.0,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD32698,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd32698,house,260000.0,3.0,liege,160.0,0.0,2.0,0.0,Fuel oil,Normal,287.0,2.0,,,0.0,,1.0,"yes, certificate in accordance",,,97.0,,,,,0.0,South-east,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD32808,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd32808,house,285000.0,3.0,liege,173.0,0.0,1.0,0.0,Fuel oil,Normal,232.0,2.0,,no flooding area,0.0,On contract,,"No, certificate does not comply",,,,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD17715,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd17715,house,139000.0,2.0,liege,110.0,0.0,1.0,0.0,Fuel oil,To be renovated,504.0,1.0,,no flooding area,,On contract,,"No, certificate does not comply",,,88.0,,,,,,South-east,,,23.0,,,,,,,,,41.0,,,,,,19 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD33515,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd33515,house,130000.0,2.0,liege,80.0,0.0,1.0,0.0,Gas,Normal,337.0,1.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,25.0,237.0,,,,0.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD01310,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd01310,house,259000.0,4.0,grivegnee,178.0,0.0,1.0,,Gas,Normal,355.0,2.0,,,,On contract,0.0,"No, certificate does not comply",,,,1289.0,,,,,North-east,20240715001799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD33567,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd33567,house,449900.0,3.0,liege,274.0,0.0,1.0,0.0,Fuel oil,,187.0,2.0,,no flooding area,0.0,,,,,,750.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD33639,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd33639,house,199500.0,3.0,liege,,0.0,1.0,0.0,,Excellent,281.0,2.0,,,0.0,On contract,,"yes, certificate in accordance",,,,304.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD33776,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd33776,house,209000.0,3.0,liege,105.0,0.0,1.0,0.0,Fuel oil,Normal,388.0,1.0,,no flooding area,0.0,,0.0,"yes, certificate in accordance",,,219.0,500.0,,,,0.0,North-west,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD34229,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd34229,house,284000.0,6.0,liege,337.0,0.0,,,Gas,To be renovated,319.0,4.0,,,,Immediately,,,,,253.0,1844.0,,,,0.0,,,,20.0,,,,,,,,,118.0,,,,,,38 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD33835,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd33835,house,325000.0,3.0,bressoux,238.0,0.0,1.0,,Gas,,332.0,,,,,,0.0,,,,143.0,,,,,,,20250710017741,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD34255,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd34255,house,570000.0,5.0,liege,141.0,0.0,3.0,0.0,Gas,Excellent,144.0,3.0,,,0.0,,0.0,"yes, certificate in accordance",,,160.0,788.0,,,,,,20241128019137,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBC35826,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbc35826,house,185000.0,5.0,chenee,290.0,0.0,2.0,0.0,Not specified,To be renovated,,,,,0.0,On contract,0.0,,,,295.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD34404,https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd34404,house,515000.0,6.0,liege,320.0,0.0,3.0,0.0,Gas,Normal,199.0,4.0,,no flooding area,0.0,On contract,,"yes, certificate in accordance",,,97.0,,,,,,,,,,,,,,,,,,,,,,,,14 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38955,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd38955,house,180000.0,1.0,grivegnee,133.0,0.0,1.0,0.0,Gas,,371.0,1.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,160.0,421.0,,,,,West,20251002020388,,33.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38853,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd38853,house,125000.0,1.0,chenee,60.0,0.0,1.0,0.0,Not specified,,285.0,2.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,25.0,136.0,,,,,,20251103029693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD38689,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd38689,house,410000.0,4.0,grivegnee,227.0,0.0,2.0,0.0,Gas,Excellent,225.0,3.0,,,0.0,,1.0,,,,609.0,1338.0,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
